CLAVE EDO,Clave del Actor,No ID ATRI,Edad,Superficie,InAI,Rendimiento,Autoconsumo,Clientes,nRadiality,Capitales Num,Capitales
TLX,TLXER1412,24409,55,1,0.133333333,2.1,100,0,0.079,1,Apego
TLX,TLXER1413,24410,66,3,0.133333333,3,10,1,0.079,6,Enlace e interface
TLX,TLXER1414,24411,74,2.75,0.2,2,5,1,0.118,4,Apego y enlace
TLX,TLXER1415,24412,56,1.08,0.266666667,4.7,100,0,0.118,4,Apego y enlace
TLX,TLXER1417,24413,69,3,0.133333333,3,5,1,0.079,6,Enlace e interface
TLX,TLXER1419,24414,47,1.05,0.266666667,3.7,100,0,0.118,7,"Apego, enlace e interface"
TLX,TLXER142,24415,55,1,0.066666667,2.8,60,1,0.079,3,Interface
TLX,TLXER1420,24416,85,2,0.066666667,3.5,13,1,0.039,2,Enlace
TLX,TLXER1421,24417,83,4,0.133333333,1.7,50,1,0.079,4,Apego y enlace
TLX,TLXER1423,24418,77,1,0.2,2,0,1,0.118,2,Enlace
TLX,TLXER1425,24419,76,0.7,0.2,5.5,100,0,0.079,2,Enlace
TLX,TLXER1427,24420,65,3,0.133333333,3,10,1,0.079,4,Apego y enlace
TLX,TLXER1428,24421,61,5,0.133333333,3.5,5.71,1,0.079,4,Apego y enlace
TLX,TLXER1429,24422,79,1,0.333333333,2.5,100,0,0.118,4,Apego y enlace
TLX,TLXER143,24423,75,2.5,0.133333333,3,50,1,0.039,2,Enlace
TLX,TLXER1430,24424,45,1.04,0.266666667,4.1,100,0,0.079,2,Enlace
TLX,TLXER1431,24425,68,3,0.2,3,10,1,0.118,4,Apego y enlace
TLX,TLXER1432,24426,73,3.8,0.133333333,2.8,12,1,0.079,1,Apego
TLX,TLXER1434,24427,87,1.2,0.133333333,3,5,1,0.079,4,Apego y enlace
TLX,TLXER1435,24428,71,4.5,0.333333333,2,80,1,0.197,7,"Apego, enlace e interface"
TLX,TLXER1436,24429,74,0.5,0.2,7.8,100,0,0.079,6,Enlace e interface
TLX,TLXER144,24430,74,3.5,0.333333333,2.5,50,1,0.079,6,Enlace e interface
TLX,TLXER1440,24431,50,2,0.133333333,3.5,5,1,0.079,4,Apego y enlace
TLX,TLXER1441,24432,79,2.54,0.2,2.5,100,0,0.118,4,Apego y enlace
TLX,TLXER1443,24433,56,0.58,0.266666667,4.9,100,0,0.118,6,Enlace e interface
TLX,TLXER1444,24434,92,1,0.133333333,0.9,100,0,0.079,4,Apego y enlace
TLX,TLXER1445,24435,70,1.18,0.133333333,3,53,1,0.079,4,Apego y enlace
TLX,TLXER1446,24436,62,2.7,0.2,3,10,1,0.079,6,Enlace e interface
TLX,TLXER1447,24437,64,4,0.2,2,100,0,0.118,4,Apego y enlace
TLX,TLXER1448,24438,67,0.32,0.133333333,4.8,100,0,0.079,2,Enlace
TLX,TLXER1450,24439,77,5,0.133333333,5,10,1,0.079,4,Apego y enlace
TLX,TLXER1451,24440,75,1.1,0.266666667,4,50,1,0.118,4,Apego y enlace
TLX,TLXER1453,24441,55,5,0.2,3.2,12,1,0.118,7,"Apego, enlace e interface"
TLX,TLXER1454,24442,60,1,0.133333333,2.2,100,0,0.039,1,Apego
TLX,TLXER1455,24443,92,1.09,0.2,3.7,100,0,0.079,2,Enlace
TLX,TLXER1456,24444,75,2,0.2,2,29,1,0.118,4,Apego y enlace
TLX,TLXER1457,24445,87,5,0.133333333,2.5,100,0,0.079,4,Apego y enlace
TLX,TLXER1458,24446,83,2,0.066666667,4,100,0,0.039,1,Apego
TLX,TLXER1459,24447,49,2.14,0.266666667,2.5,10,1,0.197,4,Apego y enlace
TLX,TLXER146,24448,80,3.5,0.066666667,2,25,2,0.039,2,Enlace
TLX,TLXER1460,24449,41,1.04,0.2,3.1,100,0,0.079,6,Enlace e interface
TLX,TLXER1461,24450,69,3,0.133333333,3,100,0,0.079,4,Apego y enlace
TLX,TLXER1462,24451,54,0.81,0.066666667,2.1,26.41,1,0.039,1,Apego
TLX,TLXER1463,24452,63,1,0.133333333,3.1,64.5,0,0.079,5,Apego e interface
TLX,TLXER1465,24453,60,0.2,0.133333333,3.7,100,0,0.079,2,Enlace
TLX,TLXER1468,24454,89,0.53,0.266666667,5,100,0,0.118,6,Enlace e interface
TLX,TLXER1469,24455,44,3.5,0.266666667,3,10,1,0.197,7,"Apego, enlace e interface"
TLX,TLXER147,24456,65,1,0.133333333,2.5,30,1,0.079,2,Enlace
TLX,TLXER1470,24457,56,0.76,0.266666667,4.5,100,0,0.118,7,"Apego, enlace e interface"
TLX,TLXER1471,24458,68,3.23,0.2,4,100,0,0.118,4,Apego y enlace
