ID,Clave_actor,Apego,Enlace,Interface,Formas_Capitales,EDO,Agricultura_contrato_18,Análisis_suelo_18,Análisis_foliar_18,Asociación_cultivos_18,Azufre_18,Biofertilizantes_18,Bioinsecticidas_18,Cal_micronizada_18,Camas_permanentes_18,Certificación_productos_18,Composta_18,Control_biológico_18,Criollos_mejorados_18,Cultivos_cobertura_18,Desgranadora_18,Desvare_18,Estudio_mercado_18,Feromonas_18,Fertilización_18,Greenseeker_18,Insectos_benéficos_18,Maíz_hibrídos_MasAgro_18,Maíz_mejorado_MasAgro_18,Maíz_polinización_abierta_18,Mejoradores_suelo_18,Micorrizas_18,Micronutrientes_18,Monitoreo_plagas_18,Nivelación_suelos_18,Poscosecha_18,Rastra_18,Rastrojo_18,Secadora_18,Semillas_mejoradas_diversas_18,Siembra_directa_18,Subsoleo_18,Trampas_colores_18,Tratamiento_semillas_18,Riego_goteo_18
35,CAMER088,0,2,2,6,CAM,,,,,,IG004,,,,,,,,,,,,PSP007,IG001,,,,,,,,,,,PSP007,,,,,,,,,
36,CAMER089,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
37,CAMER091,0,2,2,6,CAM,,,,,,IG004,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
38,CAMER092,0,2,2,6,CAM,,,,,,IG004,,,,,,,,,,,,PSP007,IG003,,,,,,,,,,,PSP007,,,,,,,,,
39,CAMER093,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
40,CAMER094,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG003,,,,,,,,,,,PSP007,,,,,,,,,
41,CAMER095,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
42,CAMER097,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
43,CAMER098,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
44,CAMER099,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
45,CAMER100,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
46,CAMER101,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
47,CAMER102,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
48,CAMER103,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
49,CAMER104,1,1,1,7,CAM,,,,,,,,,,,,,,,,,,ERe004,IG002,,,,,,,,,,,PSP007,,,,,,,,,
50,CAMER106,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
51,CAMER108,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
52,CAMER109,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
53,CAMER110,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
54,CAMER111,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
55,CAMER112,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
56,CAMER113,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
57,CAMER114,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
58,CAMER115,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
59,CAMER116,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
60,CAMER118,0,0,1,3,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,,,,,,,,,,
61,CAMER119,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
62,CAMER122,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
63,CAMER125,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
64,CAMER126,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
65,CAMER129,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
66,CAMER132,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,,,,,
67,CAMER134,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PI007,,,,,,,,,
68,CAMER135,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
69,CAMER136,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
70,CAMER137,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
71,CAMER138,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
72,CAMER139,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
73,CAMER140,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
74,CAMER141,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
75,CAMER142,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
76,CAMER145,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,,
77,CAMER146,0,1,2,6,CAM,,,,,,IG002,,,,,,,,,,,,,IG006,,,,,,,,,,,PSP006,,,,,,,,,
78,CAMER150,1,0,0,1,CAM,,,,,,,,,,,,,,,,,,,FAM004,,,,,,,,,,,,,,,,,,,,
79,CAMER151,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,,,,,,,,,,,,PSP006,,,,,PE001,,,,
80,CAMER152,0,3,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,PSP001,
81,CAMER153,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,,
82,CAMER154,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,,
83,CAMER155,0,1,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,,,,,,,,,,,,PSP006,,,,,,,,,
84,CAMER156,0,1,0,2,CAM,,PSP001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,CAMER157,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,,
86,CAMER158,0,1,2,6,CAM,,,,,,IG002,,,,,,,,,,,,,FM007,,,,,,,,,,,PSP006,,,,,,,,,
87,CAMER159,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,,
88,CAMER160,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,,
89,CAMER161,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,,
90,CAMER162,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,,
91,CAMER164,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,,
92,CAMER165,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,,
93,CAMER166,1,1,1,7,CAM,,,,,,IG002,,,,,,,,,,,,,FAM001,,,,,,,,,,,PSP006,,,,,,,,,
94,CAMER167,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP001,,,,,,,,,,,PSP006,,,,,,,,,
95,CAMER169,1,1,2,7,CAM,,,,,,IG002,,,,,,,,,,,,IG002,FAM002,,,,,,,,,,,PSP006,,,,,,,,,
96,CAMER170,0,2,3,6,CAM,,,,,,IG002,,,,,,,,,,,,IG002,,,,,,,,,,,,IG008,,,,,PI022,,,PI001,
97,CAMER171,1,2,2,7,CAM,,,,,,IG002,,,,,,,,,,,,IG002,PI001,,,,,,,,,,,PSP006,,,,,ERe002,,,,
98,CAMER172,0,3,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PI001,,,,,,,,,,,PSP006,,,,,PI022,,,,
99,CAMER173,0,3,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PI001,,,,,,,,,,,PSP006,,,,,PI022,,,,
100,CAMER174,1,2,2,7,CAM,,,,,,IG002,,,,,,,,,,,,IG002,PI001,,,,,,,,,,,ER174,,,,,PI022,,,,
101,CAMER175,0,4,2,6,CAM,,PI022,,,,IG002,,,,,,,,,,,,IG002,,,,,,,,,,,,PSP006,,,,,PI022,PI022,,,
102,CAMER176,0,2,2,6,CAM,,,,,,IG002,,,,,,,,,,,,IG002,,,,,,,,,,,,PSP006,,,,,PI022,,,,
103,CAMER177,0,3,2,6,CAM,,,,,,IG002,,,,,,,,,,,,IG002,PI022,,,,,,,,,,,PSP006,,,,,PI022,,,,
104,CAMER178,0,2,2,6,CAM,,,,,,IG002,,,,,,,,,,,,IG002,,,,,,,,,,,,PSP006,,,,,PI022,,,,
105,CAMER179,0,2,2,6,CAM,,,,,,IG002,,,,,,,,,,,,IG002,PI028,,,,,,,,,,,PSP006,,,,,,,,,
106,CAMER180,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PI022,,,,,,,,,,,,,,,,PI022,,,,
107,CAMER181,0,2,3,6,CAM,,,,,,IG002,,,,,,,,,,,,IG002,IG002,,,,,,,,,,,PSP006,,,,,PE002,,,,
108,CAMER182,0,3,2,6,CAM,,,,,,IG002,,,,,,,,,,,,IG002,PI022,,,,,,,,,,,PSP006,,,,,PI022,,,,
109,CAMER183,1,1,0,4,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSP006,,,,,ERe003,,,,
110,CAMER184,0,2,2,6,CAM,,,,,,IG002,,,,,,,,,,,,IG002,,,,,,,,,,,,PSP006,,,,,PI022,,,,
111,CAMER185,0,2,2,6,CAM,,,,,,IG002,,,,,,,,,,,,IG002,PI022,,,,,,,,,,,PI022,,,,,,,,,
112,CAMER186,0,2,3,6,CAM,,,,,,IG002,,,,,,,,,,,,IG002,IG002,,,,,,,,,,,PSP006,,,,,PI022,,,,
113,CAMER190,0,0,0,0,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,CAMER192,0,0,0,0,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,CAMER193,0,0,1,3,CAM,,,,,,,,,,,,,,,,,,,IG010,,,,,,,,,,,,,,,,,,,,
116,CAMER195,0,0,1,3,CAM,,,,,,,,,,,,,,,,,,,IG010,,,,,,,,,,,,,,,,,,,,
117,CAMER197,0,0,1,3,CAM,,,,,,,,,,,,,,,,,,,IG009,,,,,,,,,,,,,,,,,,,,
118,CAMER199,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PI030,,,,,,,,,,,,,,,,,,,,
119,CAMER200,1,0,1,5,CAM,,,,,,,,,,,,,,,,,,,IG009,,,,,,,,ER191,,,,,,,,,,,,
120,CAMER201,0,0,0,0,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,CAMER202,1,0,0,1,CAM,,,,,,,,,,,,,,,,,,,ER522,,,,,,,,,,,,,,,,,,,,
122,CAMER205,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PI029,,,,,,,,,,,,,,,,,,,,
123,CAMER206,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PSP003,,,,,,,,,,,,,,,,,,,,
124,CAMER207,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG009,,,,,,,,PI029,,,,,,,,,,,,
125,CAMER208,1,0,0,1,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,ER191,,,,,,,,,,,,
126,CAMER213,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PSP004,,,,,,,,,,,,,,,,,,,,
127,CAMER214,0,0,2,3,CAM,,,,,,,,,,,,,,,,,,,IG012,,,,,,,,,,,,,,,,,,,FM011,
128,CAMER215,0,0,1,3,CAM,,,,,,,,,,,,,,,,,,,IG012,,,,,,,,,,,,,,,,,,,,
129,CAMER217,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG012,,,,,,,,,,,PSP006,,,,,,,,,
130,CAMER218,0,0,2,3,CAM,,,,,,,,,,,,,,,,,,,IG012,,,,,,,,,,,,,,,,,,,FM011,
131,CAMER219,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG012,,,,,,,,,,,PSP006,,,,,,,,,
132,CAMER220,0,0,1,3,CAM,,,,,,,,,,,,,,,,,,,IG010,,,,,,,,,,,,,,,,,,,,
